Beitrag
"Immobilienblase? Nö.In den meisten Gegenden Deutschlands gibt es KEINE Immobilienblase, sondern häufig Leerstände, besonders im Osten aber auch im Westen.  Privates Kapital trocknet aus: Die Gesetzgebung hat sich in den letzten Jahren dermaßen zugunsten der Mieter verändert, dass diese praktisch alle Rechte und die Vermieter keine mehr haben. Jeder Vermieter, der klar denken (und rechnen) kann, wird es sich hundert Mal überlegen, für andere Wohnraum zu schafffen. Die Mietpreisbremse wird das Ganze drastisch verschlimmern."
"Ich habe durch Karl May schneller lesen gelernt, ich habe durch Karl May gelernt ein Lexikon zu benutzen, ich habe durch Karl May die Wälder und Wiesen unseres Dorfes kennen gelernt weil wir die Geschichten immer nachgespielt haben. Ich konnte als Kind mit Säge, Holzhammer und Stechbeitel und Leim umgehen weil ich natürlich eine selbstgebastelte Silberbüchse und ein Kanu für den Kiesteich brauchte, und vieles mehr. Statt vorm Fernseher zu sitzen war ich draußen und habe viele schöne Stunden mit Freunden verbracht. Dafür danke ich Herrn May, egal ob die Geschichten erstunken und erlogen waren."
"Putin und Obama telefonierten wegen SyrienAm Wichtigsten wäre es meines Erachtens nach derzeit, die Türkei zu bremsen. Nicht nur, dass sie die kurdischen Stellungen der YPG in Nordsyrien bombardiert, sie scheint sich auch gemeinsam mit Saudi-Arabien auf eine Invasion vorzubereiten. Das dürfte wohl mit ein Grund für dieses Gespräch zwischen Obama und Putin gewesen sein."
"""Die Flüchtlingskrise verunsichere die Bürger Europas, sagte Valls. Diese hätten zunehmend das Gefühl, ""dass Europa die Kontrolle und die Macht über sein Schicksal verloren hat""    Dies kann ich aus meiner Sicht nur bestätigen. Ich finde es sehr gut, wenn Politiker auch auf europäischer Ebene jetzt ihre Meinung klar sagen."
"Jetzt geht auch noch Frankreich auf deutliche Distanz zu Merkel, damit ist die angestrebte sogenannte europäische Lösung eigentlich schon Geschichte.  Der Vorschlag 1000 Flüchtlinge pro Tag direkt nach Deutschland umzusiedeln - nur um die Türkei gnädig zu stimmen, dürfte kaum funktionieren. Schweden ist sowieso am Limit und die Niederlande hat auch nur begrenzte Kapazitäten."
"Die tapferen Franzosen verlassen das sinkende Schiff. Ein Schelm, wer die Wahlerfolge des Front dafür verantwortlich macht. Jetzt kann man auch aufhören immer auf die osteuropäischen EU Staaten einzuprügeln, da die Franzosen, unsere engsten Verbündeten in der EU, ebenso ungeniert eine weitere Aufnahme von Flüchtlingen ablehnen."
"Frau Merkel hat eine deutlicheAnsage bekommen.""Wir haben 30 000 Flüchtlinge aufgenommen, dazu sind wir bereit."" Frau Merkel, wenn ich richtig rechne sind es bei uns offiziell 1.3 Mio. Aber Fachleute gehen dieses Jahr von etwa 1,6 Mio. auf. Andere Staaten nehmen keine Flüchtlinge mehr auf, weil sie begreifen, das diese Humanität die Gesellschaft spaltet. Wann begreifen das die Oberen der Regierungsparteien endlich. Gibt es bei Ihnen noch so etwas wie Logik und Verfassungstreue und Amtseid ?"
"Der grosse Vorteil des Bargeldsist für mich dessen Anonymität. Ich bin in der Lage, Transaktionen abzuwickeln, ohne dass darüber konkrete Einzelaufzeichnungen bei Händler, Bank oder Transaktionsdienst erstellt werden. Das gibt mir ein enormes Gefühl von Freiheit und Sicherheit.    Ganz nebenbei erleichtern Scheine und Münzen dann auch noch das Haushalten...denn man sieht jederzeit genau, wieviel man noch mit sich herumträgt. Gerade für Mitmenschen, die (noch) nicht gelernt haben, den Überblick über ihre Finanzen zu behalten, dürfte das eine enorme Hilfe sein."
"Die Verantwortlichen für die Misere werden die Worte des Papstes wenig jucken. Aber die Kirche will ja ihr Image aufpolieren.  Dass der Papst selbst Bescheidenheit lebt, ist sehr gut und unbestritten. Aber auch er macht Fehler. So z. B. hätte er Tebartz van Elst an den Kosten beteiligen müssen. Hat er aber nicht. Dieses Vorgehen spricht nicht für Gerechtigkeit."
"Syrien ist Teil der Weltpolitik.Und da mischt jede Macht, die etwas auf sich hält, ordentlich mit. Da werden Ziele abgesteckt, wie in einem Golgräberclaim. Und das Ganze vollzieht sich mit einem Pokerface. Wie stets wird auch jedes Parkett dabei wie hier in München zu einem Schaulaufen der Macht. Einigkeit sieht anders aus!  Es ist nicht nur Russland alleine - selbst der Konflikt zwischen Sunniten und Schiiten mischt hier ordentlich mit - mitunter geschürt. Hier wird aus taktischen Gründen jeder noch so schwelende Konflikt hochgekocht und zu eigenen Gunsten ausgenutzt. Ein Paradebeispiel postkolonialem Ränkespiels auf hohem Parkett - garniert mit traurigen Fakten, die um der normativen Kraft des Faktischen Willen immer neu geschaffen wird"
"Respekt verdient doch die Rede des jordanischen Königs Abdullah, wobei zu erwähnen wäre, daß dieses kleine Land im Verhältnis zu allen anderen Staaten die größte Bürde bei der Aufnahme von Flüchtlingen aus der gesamten Region auf sich genommen hat. Anders als die Türkei, welche die EU in der Flüchtlingskrise längst schamlos in Geiselhaft genommen hat, verdient Jordanien die ungeteilte Unterstützung des Westens, zumal das Haschemitische Königshaus glaubwürdig einen modernen und aufgeklärten Islam propagiert."
"Der Staat hat bewiesen, dass er nicht in der Lage ist zu kontrollieren,wer sich mit welchen Absichten im Land aufhält,da bleibt nur die Notbremse. Andere Länder haben die jetzige Situation wesentlich realer eingeschätzt und tun etwas um nur die wirklich bedürftigen Menschen aufzunehmen. Dank der Merkelei ist das bei uns nicht der Fall."
"Ich glaube, dass es am Ende nicht darum gehen sollte, ob man Schüler heute bis zum Abschluss irgendwie mit durchschleift. Was bringt es einem Jugendlichen einen tollen Abschluss zu besitzen (oder überhaupt einen Abschluss zu besitzen) und am Ende in der Berufsschule oder im Studium auf die Nase zu fallen?"
"Sitzenbleiben mag für den einzelnen Schüler peinlich seinAber es nützt doch nichts, wenn wir Kinder so lange in Watte packen, ihnen jeglichen Kontakt mit den Anforderungen der Realität ersparen, bis sie als völlig überforderte weil bisher nie mit verbindlichen Leistungserwartungen konfrontierte Erwachsene voll auf die Fre**e fallen. Es ist auf alle Fälle besser, Leistungsdefizite zu beheben, solange sie sich noch in einem zu bewältigenden Rahmen bewegen. Was ist denn schlimm daran, wenn ein Kind aus welchem Grund auch immer, in einem Jahr eben nicht das Leistungsniveau erreicht, das als Erfolgsvoraussetzung für den Stoff des nächsten Jahres nötig wäre? Dann gibt man ihm eben ein Jahr mehr Zeit, das Versäumte nachzuholen."
"Liebe CDUIhr könnt ändern oder beschließen was ihr wollt. Jeder, der auch nur noch einen Funken Verstand hat sieht, dass dies die reine Panik vor den nächsten Wahlen und einer starken AfD ist und somit als Aktionismus einzustufen ist.  Ihr habt zu dem Thema nicht wirklich was Sinnvolles beigetragen und im März bekommt ihr hoffentlich die verdiente Quittung."
"1998, zu Zeiten des New-Economy-Booms, lag der Ölpreis um US$ 12,00 / Barrel. Was nach historischen Dimensionen noch nicht einmal so weit weg ist.    Deshalb halte ich es für möglich, daß der Ölpreis im Rahmen einer nahenden Rezession auf Preise um unter US$ 20,00 / Barrel sinkt.  Irgendwann später, im Scheitelpunkt der kommenden Krise auf völlig ausgebombten Niveau wieder ein Spitzeninvestment mit der Chance auf Vervielfachung innerhalb kurzer Zeit."
"Ich kam spät nach Hause,das Spiel schon lief, wollte es zuerst eigentlich gar nicht sehen und wurde mit der 1. HZ bestätigt ... was für ein schlechter Kick (außer dem Angriff zum Draxler-Tor). Die 2. HZ. zeigte dann plötzlich tollen Fußball, zuerst Wolfsburg, dann kam Gent zurück - gut und spannend. Wer weiß, vielleicht verbleibt Wolfsburg als einzige deutsche Mannschaft in der nächsten Runde der CL .... Naja, hoffen wir's mal nicht."
"Im Haus des im November verstorbenen Ex-GeneralsCzeslaw Jan Kiszczak seien Walesas Personalakte und seine Verpflichtungserklärung zur Zusammenarbeit mit dem Geheimdienst gefunden worden, sagte IPN-Direktor Lukasz Kaminski.Es fasziniert mich immer wieder, dass man Jahrzehnte später in irgendeinem Haus belastendes Material findet, dass man vorher, aus welchen Gründen auch immer, nicht finden konnte. Überhaupt, wie ist man denn auf die Idee gekommen, dort zu suchen?    Herr Kiszczak und Herr Walesa waren ja jetzt nicht so eng miteinander verbunden, dass ein Verdacht hätte aufkommen können, dort solche Unterlagen zu finden.    Eine wenig glaubhaft Version, die meines Erachtens dazu dienen soll, die liberaleren Kräfte in Polen zu diskreditieren. Wir dürfen gespannt sein."
"Es hat lange gedauert, bis das nordkoreanische Regime erkannt hat, dass in Südkorea eine Präsidentin das Land regiert. Das Spiel fängt wieder von vorne an. Auf geplante Schocks (Atomtest, Test von Interkontinentalrakete) wird auf die Gegenreaktion mit Kriegsdrohungen und Beschimpfungen reagiert. Man könnte meinen, dass Nordkorea damit Kursmanipulation in Südkorea betreibt.  China sollte endlich reagieren, denn irgendwann ist es keine Zeit mehr zu reagieren, wenn der junge Diktator in Nordkorea durchdreht."
